# TNS_ID                            ra_TNS       dec_TNS       ZTF_ID       redshift_TNS noche     telescopio
 2019soy  17:24:30.746 +23:49:45.54 ZTF19acewhhp   ""     18oct2019 IAC80
2019spn  19:26:39.268 +70:40:22.12 ZTF19acewlxo  ""      18oct2019 IAC80
2019slq  22:15:03.607 -12:32:34.13 ZTF19acelcan  0.044   18oct2019 IAC80
2019spm  20:48:32.444 +01:34:38.13 ZTF19acerbty  ""      18oct2019 IAC80
2019smg  22:45:33.494 -08:45:10.48 ZTF19acennqf  0.050055 18oct2019 IAC80
2019sna  23:18:56.512 -10:10:34.98 ZTF19aceshib  0.048   18oct2019 IAC80 
2019soh  23:54:22.124 +34:21:01.48 ZTF19acetxvq  ""      18oct2019 IAC80 
2019slt  23:05:52.692 +44:24:11.04 ZTF19acdcgqm  ""      18oct2019 IAC80
2019snx  00:15:06.208 +14:14:21.07 ZTF19accavuw  ""      18oct2019 IAC80
2019soj  00:57:27.268 +20:14:42.61 ZTF19acetypv  ""      18oct2019 IAC80
2019sqp  02:18:46.983 +25:44:17.74 ZTF19acfsvfo   ""     18oct2019 IAC80
2019ssg  22:36:28.581 -07:38:02.20 ZTF19acftbsn ""       19oct2019 IAC80
2019ssh  22:36:45.723 -10:03:55.25 ZTF19acftbcm ""       19oct2019 IAC80
2019ssj  00:36:25.352 +02:25:40.16 ZTF19acfthre 0.04     19oct2019 IAC80
2019slw  04:14:48.196 +25:40:01.56 ZTF19acepeea ""       19oct2019 IAC80
2019ssk  00:18:11.724 +15:48:20.32 ZTF19acftjsn ""       19oct2019 IAC80
2019ssv  01:26:19.059 +74:01:58.11 ZTF19acdytef ""       19oct2019 IAC80
2019ste  04:22:00.776 +36:20:00.53 ZTF19acevlfc ""       19oct2019 IAC80
2019svb  05:29:28.728 -01:43:12.34 ZTF19acgcshq ""       19oct2019 IAC80
     
